job_id,skill,skill_category
freehire:data-analyst-ii-fedex-mkhr4uqf,SQL Server,Database / Query
freehire:lead-data-analyst-ameriprise-financial-3p5qvwup,AWS,Cloud
freehire:lead-data-analyst-ameriprise-financial-3p5qvwup,Power BI,BI / Visualization
freehire:lead-data-analyst-ameriprise-financial-3p5qvwup,Python,Programming
freehire:lead-data-analyst-ameriprise-financial-3p5qvwup,SQL,Database / Query
freehire:sr-business-analyst-fiserv-jl4pbssi,Forecasting,Statistics / Analytics
freehire:sr-business-analyst-fiserv-jl4pbssi,Jira,Collaboration Tool
freehire:credit-risk-analyst-fiserv-puoy3xp5,Excel,Spreadsheet
freehire:fraud-risk-analyst-fiserv-jypetxl2,Excel,Spreadsheet
freehire:business-analyst-agilent-epyjtg2f,Excel,Spreadsheet
freehire:business-analyst-agilent-epyjtg2f,Forecasting,Statistics / Analytics
freehire:business-analyst-agilent-epyjtg2f,Power BI,BI / Visualization
freehire:business-analyst-agilent-epyjtg2f,Power Query,BI / Visualization
freehire:business-analyst-agilent-epyjtg2f,SAP,Enterprise Tool
freehire:group-product-analyst-ii-dp-world-p2tl4fhv,A/B Testing,Statistics / Analytics
freehire:group-product-analyst-ii-dp-world-p2tl4fhv,Excel,Spreadsheet
freehire:group-product-analyst-ii-dp-world-p2tl4fhv,Power BI,BI / Visualization
freehire:group-product-analyst-ii-dp-world-p2tl4fhv,Python,Programming
freehire:group-product-analyst-ii-dp-world-p2tl4fhv,SQL,Database / Query
freehire:group-product-analyst-ii-dp-world-p2tl4fhv,Statistics,Statistics / Analytics
freehire:group-product-analyst-ii-dp-world-p2tl4fhv,Tableau,BI / Visualization
freehire:sr-analyst-process-analytics-claims-underwriting-4a-genpact-getvboza,Data Modeling,Data Engineering
freehire:sr-analyst-process-analytics-claims-underwriting-4a-genpact-getvboza,Excel,Spreadsheet
freehire:sr-analyst-process-analytics-claims-underwriting-4a-genpact-getvboza,SQL,Database / Query
freehire:sr-analyst-process-analytics-claims-underwriting-4a-genpact-getvboza,Statistics,Statistics / Analytics
freehire:business-analyst-genpact-abkjkx4h,Data Modeling,Data Engineering
freehire:business-analyst-genpact-abkjkx4h,Data Warehousing,Data Engineering
freehire:business-analyst-genpact-abkjkx4h,ETL,Data Engineering
freehire:business-analyst-genpact-abkjkx4h,Power BI,BI / Visualization
freehire:business-analyst-genpact-abkjkx4h,Python,Programming
freehire:business-analyst-genpact-abkjkx4h,Statistics,Statistics / Analytics
freehire:business-analyst-genpact-abkjkx4h,Tableau,BI / Visualization
freehire:senior-it-analyst-applications-manufacturing-business-analyst-caterpillar-inc-ivu2udw3,Excel,Spreadsheet
freehire:senior-it-analyst-applications-manufacturing-business-analyst-caterpillar-inc-ivu2udw3,SQL,Database / Query
freehire:data-analyst-skeps-o5pzj7b4,Excel,Spreadsheet
freehire:data-analyst-skeps-o5pzj7b4,Forecasting,Statistics / Analytics
freehire:data-analyst-skeps-o5pzj7b4,NumPy,Programming
freehire:data-analyst-skeps-o5pzj7b4,Pandas,Programming
freehire:data-analyst-skeps-o5pzj7b4,Python,Programming
freehire:data-analyst-skeps-o5pzj7b4,Regression,Statistics / Analytics
freehire:data-analyst-skeps-o5pzj7b4,SQL,Database / Query
freehire:data-analyst-skeps-o5pzj7b4,Statistics,Statistics / Analytics
freehire:data-analyst-skeps-o5pzj7b4,Tableau,BI / Visualization
freehire:senior-pricing-analyst-scan-it-442d6npa,Excel,Spreadsheet
freehire:performance-analyst-ii-invesco-fjdhm5gz,Excel,Spreadsheet
freehire:performance-analyst-ii-invesco-fjdhm5gz,Power BI,BI / Visualization
freehire:performance-analyst-ii-invesco-fjdhm5gz,Python,Programming
freehire:performance-analyst-ii-invesco-fjdhm5gz,SQL,Database / Query
freehire:performance-analyst-ii-invesco-fjdhm5gz,Tableau,BI / Visualization
freehire:senior-pricing-and-insights-analyst-carrier-global-hbnatcwh,DAX,BI / Visualization
freehire:senior-pricing-and-insights-analyst-carrier-global-hbnatcwh,Data Modeling,Data Engineering
freehire:senior-pricing-and-insights-analyst-carrier-global-hbnatcwh,Excel,Spreadsheet
freehire:senior-pricing-and-insights-analyst-carrier-global-hbnatcwh,Power BI,BI / Visualization
freehire:senior-pricing-and-insights-analyst-carrier-global-hbnatcwh,SAP,Enterprise Tool
freehire:senior-it-business-analyst-medtronic-54meni76,Jira,Collaboration Tool
freehire:reporting-insights-analyst-mufg-pension-market-services-42r3hfh3,Excel,Spreadsheet
freehire:reporting-insights-analyst-mufg-pension-market-services-42r3hfh3,Power BI,BI / Visualization
freehire:reporting-insights-analyst-mufg-pension-market-services-42r3hfh3,Python,Programming
freehire:reporting-insights-analyst-mufg-pension-market-services-42r3hfh3,SQL,Database / Query
freehire:business-analyst-i-sps-finance-insights-analytics-amazon-xxue2toe,Excel,Spreadsheet
freehire:business-analyst-i-sps-finance-insights-analytics-amazon-xxue2toe,SQL,Database / Query
freehire:business-analyst-aviation-nayara-energy-qcavcu25,Forecasting,Statistics / Analytics
freehire:business-analyst-aviation-nayara-energy-qcavcu25,SAP,Enterprise Tool
freehire:senior-data-analyst-guidehouse-jmhveuk3,ETL,Data Engineering
freehire:senior-data-analyst-guidehouse-jmhveuk3,Excel,Spreadsheet
freehire:senior-data-analyst-guidehouse-jmhveuk3,Python,Programming
freehire:senior-data-analyst-guidehouse-jmhveuk3,SQL,Database / Query
freehire:senior-data-analyst-guidehouse-jmhveuk3,Statistics,Statistics / Analytics
freehire:sr-business-analyst-change-management-invesco-vfkialog,Excel,Spreadsheet
freehire:sr-business-analyst-change-management-invesco-vfkialog,Power BI,BI / Visualization
freehire:sr-business-analyst-change-management-invesco-vfkialog,Tableau,BI / Visualization
freehire:business-analyst-ameriprise-financial-6j7doort,Jira,Collaboration Tool
freehire:business-analyst-ameriprise-financial-6j7doort,Regression,Statistics / Analytics
freehire:analyst-process-analytics-claims-underwriting-5a-genpact-rfnkjver,Excel,Spreadsheet
freehire:analyst-process-analytics-claims-underwriting-5a-genpact-rfnkjver,Statistics,Statistics / Analytics
freehire:rcm-mis-reporting-analyst-neolytix-ynpxgkmj,Excel,Spreadsheet
freehire:rcm-mis-reporting-analyst-neolytix-ynpxgkmj,Power BI,BI / Visualization
freehire:rcm-mis-reporting-analyst-neolytix-ynpxgkmj,Python,Programming
freehire:rcm-mis-reporting-analyst-neolytix-ynpxgkmj,SQL,Database / Query
freehire:hih-business-analytics-lead-analyst-cigna-group-fdx5rry4,Azure,Cloud
freehire:hih-business-analytics-lead-analyst-cigna-group-fdx5rry4,Databricks,Data Engineering
freehire:hih-business-analytics-lead-analyst-cigna-group-fdx5rry4,Forecasting,Statistics / Analytics
freehire:hih-business-analytics-lead-analyst-cigna-group-fdx5rry4,Machine Learning,Machine Learning
freehire:hih-business-analytics-lead-analyst-cigna-group-fdx5rry4,Power BI,BI / Visualization
freehire:hih-business-analytics-lead-analyst-cigna-group-fdx5rry4,Python,Programming
freehire:analytics-senior-analyst-avp-db-qpwtrzav,Excel,Spreadsheet
freehire:hih-business-analytics-lead-analyst-allegiance-benefit-plan-management-4qxcgtm6,Azure,Cloud
freehire:hih-business-analytics-lead-analyst-allegiance-benefit-plan-management-4qxcgtm6,Databricks,Data Engineering
freehire:hih-business-analytics-lead-analyst-allegiance-benefit-plan-management-4qxcgtm6,Forecasting,Statistics / Analytics
freehire:hih-business-analytics-lead-analyst-allegiance-benefit-plan-management-4qxcgtm6,Machine Learning,Machine Learning
freehire:hih-business-analytics-lead-analyst-allegiance-benefit-plan-management-4qxcgtm6,Power BI,BI / Visualization
freehire:hih-business-analytics-lead-analyst-allegiance-benefit-plan-management-4qxcgtm6,Python,Programming
freehire:business-analyst-logistics-marketplaces-arting-digital-eakmddag,Looker,BI / Visualization
freehire:business-analyst-logistics-marketplaces-arting-digital-eakmddag,SQL,Database / Query
freehire:business-analyst-global-banking-digital-transformation-capco-rxtsavad,Jira,Collaboration Tool
freehire:business-analyst-barclays-ujdqfoyd,Excel,Spreadsheet
freehire:business-analyst-barclays-ujdqfoyd,Jira,Collaboration Tool
freehire:senior-business-analyst-saxo-bank-a2f3i2vn,Regression,Statistics / Analytics
freehire:data-analyst-ii-rm-amer-criteo-izjnpnwv,Excel,Spreadsheet
freehire:data-analyst-ii-rm-amer-criteo-izjnpnwv,Git,Developer Tool
freehire:data-analyst-ii-rm-amer-criteo-izjnpnwv,Hadoop,Data Engineering
freehire:data-analyst-ii-rm-amer-criteo-izjnpnwv,Python,Programming
freehire:data-analyst-ii-rm-amer-criteo-izjnpnwv,SQL,Database / Query
freehire:data-analyst-ii-rm-amer-criteo-izjnpnwv,Statistics,Statistics / Analytics
freehire:data-analyst-ii-rm-amer-criteo-izjnpnwv,Tableau,BI / Visualization
freehire:data-analyst-research-barclays-gtpxkfl3,Excel,Spreadsheet
freehire:data-analyst-research-barclays-gtpxkfl3,SAP,Enterprise Tool
freehire:data-analyst-research-barclays-gtpxkfl3,Tableau,BI / Visualization
freehire:analytics-solutions-analyst-jp-morgan-chase-wyvldaxw,AWS,Cloud
freehire:analytics-solutions-analyst-jp-morgan-chase-wyvldaxw,Hadoop,Data Engineering
freehire:analytics-solutions-analyst-jp-morgan-chase-wyvldaxw,Jira,Collaboration Tool
freehire:analytics-solutions-analyst-jp-morgan-chase-wyvldaxw,Python,Programming
freehire:analytics-solutions-analyst-jp-morgan-chase-wyvldaxw,SQL,Database / Query
