skill_1,skill_2,jobs_with_pair
Airflow,Regression,2
Alteryx,BigQuery,2
Alteryx,ELT,2
Alteryx,GCP,2
Alteryx,Machine Learning,2
Alteryx,R,2
Alteryx,Spark,2
Azure,BigQuery,2
Azure,MySQL,2
BigQuery,ELT,2
BigQuery,PostgreSQL,2
BigQuery,Qlik,2
DAX,NumPy,2
DAX,Regression,2
Data Modeling,R,2
Data Warehousing,Hadoop,2
Data Warehousing,NumPy,2
Databricks,SAP,2
ELT,Pandas,2
ELT,SQL Server,2
Excel,SSIS,2
Forecasting,Hadoop,2
Forecasting,Redshift,2
Forecasting,SPSS,2
GCP,PostgreSQL,2
GCP,R,2
GCP,SAS,2
GCP,SQL Server,2
Git,SciPy,2
Hadoop,Snowflake,2
Jira,NumPy,2
Looker,MySQL,2
Looker,PostgreSQL,2
Machine Learning,R,2
Machine Learning,SPSS,2
Machine Learning,SSIS,2
MySQL,Pandas,2
MySQL,SAS,2
MySQL,Snowflake,2
NumPy,SAP,2
NumPy,SAS,2
NumPy,SQL Server,2
NumPy,dbt,2
Oracle,Python,2
Oracle,SQL Server,2
Oracle,Tableau,2
Pandas,SAS,2
Power Query,Regression,2
Power Query,SQL Server,2
Power Query,Spark,2
Qlik,SAP,2
R,Redshift,2
R,Snowflake,2
Regression,dbt,2
SAP,SQL Server,2
SAP,SSIS,2
SAP,Spark,2
SAS,Snowflake,2
SSIS,Spark,2
SSIS,Statistics,2
A/B Testing,DAX,1
A/B Testing,Hadoop,1
A/B Testing,SPSS,1
A/B Testing,SQL Server,1
A/B Testing,SciPy,1
AWS,PostgreSQL,1
AWS,SPSS,1
AWS,SciPy,1
Airflow,Hadoop,1
Airflow,Jira,1
Airflow,MySQL,1
Airflow,PostgreSQL,1
Alteryx,Hadoop,1
Alteryx,SQL Server,1
Alteryx,SSIS,1
Azure,PostgreSQL,1
Azure,SciPy,1
BigQuery,DAX,1
BigQuery,MySQL,1
BigQuery,Power Query,1
BigQuery,SAP,1
DAX,Looker,1
DAX,MySQL,1
DAX,PostgreSQL,1
DAX,Qlik,1
DAX,R,1
Data Modeling,Oracle,1
Data Warehousing,Oracle,1
Data Warehousing,Regression,1
Databricks,NumPy,1
Databricks,SSIS,1
ELT,Hadoop,1
ELT,NumPy,1
ELT,Power Query,1
ELT,Qlik,1
ELT,Regression,1
ELT,SAP,1
ELT,SSIS,1
ELT,dbt,1
ETL,Hadoop,1
ETL,SPSS,1
Excel,SciPy,1
Forecasting,SciPy,1
GCP,MySQL,1
GCP,Oracle,1
Git,Oracle,1
Git,Power Query,1
Git,Qlik,1
Git,SAP,1
Git,SAS,1
Git,SSIS,1
Hadoop,NumPy,1
Hadoop,Pandas,1
Hadoop,SQL Server,1
Jira,MySQL,1
Jira,SSIS,1
Looker,SAP,1
Looker,SAS,1
Looker,SPSS,1
Looker,SQL Server,1
Looker,SSIS,1
Looker,SciPy,1
Machine Learning,MySQL,1
Machine Learning,PostgreSQL,1
Machine Learning,Redshift,1
Machine Learning,SciPy,1
MySQL,NumPy,1
MySQL,Qlik,1
MySQL,Redshift,1
MySQL,Regression,1
MySQL,SPSS,1
MySQL,dbt,1
NumPy,Redshift,1
Oracle,SAP,1
Oracle,SAS,1
Pandas,Redshift,1
PostgreSQL,Redshift,1
PostgreSQL,Snowflake,1
PostgreSQL,dbt,1
Power BI,SPSS,1
Power Query,Qlik,1
Power Query,SciPy,1
Qlik,Regression,1
Qlik,SSIS,1
Qlik,dbt,1
R,Regression,1
R,SAP,1
Redshift,SAP,1
Redshift,SAS,1
Redshift,SPSS,1
Regression,SPSS,1
Regression,SQL Server,1
SAP,SciPy,1
SAS,SSIS,1
SPSS,SQL Server,1
SQL Server,Spark,1
