company_name,job_count,role_families,specific_cities
Ayr Energy,1,1,1
BMW TechWorks,1,1,1
BNB Land Consultancy,1,1,1
BPM,1,1,1
Badger Infrastructure Solutions,1,1,1
Bankai Infotech,1,1,1
Bansal Roofing Products,1,1,1
Barracuda Networks,1,1,1
Baxter,1,1,0
"BayApps, Inc.",1,1,0
Beghou Consulting,1,1,0
Beiersdorf,1,1,1
Benchmark Gensuite,1,1,1
Benchmark IT Solutions,1,1,1
Beworld web services,1,1,1
Bill Gosling Outsourcing,1,1,1
Black Duck Software,1,1,1
"Black Duck Software, Inc.",1,1,1
Blueberry Digital Labs,1,1,1
Bodycraft,1,1,1
Booking Holdings,1,1,1
Bradken,1,1,1
Buckman International,1,1,0
Bullpen Capital,1,1,0
Bunge,1,1,1
Bureau Veritas,1,1,1
Byteridge,1,1,0
CACI,1,1,1
CDM Smith,1,1,1
CSM Technologies Private Limited,1,1,1
Calpion Software Technologies,1,1,1
Calypso Technology,1,1,1
Campus Management,1,1,1
Candor Health,1,1,1
Cantor Fitzgerald,1,1,1
Capgemini Technology Services India Limited,1,1,1
Carelon Global Solutions,1,1,0
Cargill,1,1,1
Carlisle Companies,1,1,1
Cars24,1,1,1
Center for Computational Technologies,1,1,1
CheQ,1,1,1
Chevron Corporation,1,1,1
Chloe,1,1,1
Cigna,1,1,1
Circles,1,1,0
Citco,1,1,1
Climate Collective Foundation,1,1,1
Codezeros,1,1,1
Coditas Technologies,1,1,1
Colan Infotech,1,1,1
Colan Infotech Private Limited,1,1,1
Colliers,1,1,1
Colruyt IT Consultancy India,1,1,1
Commergence,1,1,0
Concentrix,1,1,0
Confido Health,1,1,1
Confluencr Global Influencer Marketing Agency,1,1,1
Connect Pro Srl,1,1,1
Continental,1,1,1
Corporate Website of Orange,1,1,1
Corteva,1,1,1
Corteva Agriscience,1,1,1
Cosmoquick,1,1,1
Cotiviti,1,1,0
Coupang,1,1,1
Credeau,1,1,1
Credit Acceptance Careers,1,1,0
Credit Acceptance Corporation,1,1,0
Creeno Solutions Private Limited,1,1,1
Cube84,1,1,0
Cubist Systematic Strategies,1,1,1
Cytiva Life Science,1,1,1
DAZN,1,1,1
DBS Bank India Limited,1,1,1
DHL,1,1,1
DS Group,1,1,0
DS Smith,1,1,0
Dautom,1,1,1
DealerOn,1,1,1
DealerSocket,1,1,1
Deccan AI Experts,1,1,1
Decipher Zone Technologies,1,1,1
Definian,1,1,1
Delhivery,1,1,1
Delta Capita,1,1,1
Delta Exchange,1,1,0
Dev Technosys Pvt. Ltd.,1,1,1
Dev Technosys- CMMI Level 3,1,1,1
DexCare,1,1,1
Diebold,1,1,1
Digantara,1,1,1
Digital Twin,1,1,1
Digitide Solutions Limited,1,1,1
Diraa HR Services,1,1,1
Dolby,1,1,1
DoorDash,1,1,1
DoorDash India,1,1,1
Dozee,1,1,1
Dreampath Services,1,1,1
DriveX,1,1,1
E Zest,1,1,1
EAX Media,1,1,0
Ebix Software India Private Limited,1,1,1
Edelweiss Global Markets,1,1,1
Electronic Arts,1,1,1
Elemica Solutions,1,1,1
Eli Lilly And Company,1,1,1
Eli Lilly Services India,1,1,0
Embark GCC,1,1,1
Emergent Labs,1,1,1
Emids,1,1,0
Emotions for Business,1,1,1
Empower,1,1,1
Enable Data Incorporated,1,1,0
Encora Technologies Pte Ltd,1,1,1
Endava,1,1,1
Enormous Enterprise LLC,1,1,1
Enphase Energy,1,1,1
Ensono,1,1,1
Equiniti,1,1,0
Ericsson,1,1,1
Estuate Software,1,1,1
Esyasoft Technologies Private Limited,1,1,1
Ethos,1,1,1
Etraveli Group,1,1,1
Euclid Innovations Private Limited,1,1,1
Evernorth,1,1,1
Evoke HR Solutions,1,1,1
Exly,1,1,1
Expedia,1,1,1
Expedia Group,1,1,1
Experian,1,1,1
ExxonMobil,1,1,1
FIS,1,1,1
FIS Capital Markets,1,1,0
Fastenal,1,1,1
Fastly,1,1,1
Ferguson,1,1,1
Fidelity National Information Services,1,1,1
Fireblaze AI School,1,1,1
First Citizens India,1,1,0
Flare Capital Partners,1,1,1
Flexera,1,1,1
Flight Centre,1,1,1
Flipkart,1,1,1
Fluence Energy,1,1,1
Fluor,1,1,1
Foray Software Private Limited,1,1,1
Ford,1,1,1
Fortive Corporation,1,1,0
Foundation SVKM,1,1,0
Foyforyou,1,1,1
Franklin Templeton India,1,1,1
Fresenius Medical Care,1,1,0
Friar Service India,1,1,0
Frontline Managed Services,1,1,1
Fulcrum Digital,1,1,1
Fusemachines,1,1,1
Fusion CX,1,1,1
Fynd,1,1,1
GMR Group,1,1,1
Gainwell Technologies,1,1,1
Gameskraft,1,1,1
Genesis Global,1,1,0
Genpact India,1,1,0
Gieom Business Solutions Pvt Ltd,1,1,0
Global Industrial,1,1,1
Global Leader in Product Lifecycle Management Software,1,1,1
Global Payments,1,1,1
Global Payments Inc.,1,1,1
GoDaddy,1,1,0
Goodyear Corporate,1,1,1
Gratitude Inc,1,1,1
Great Techno Tycoon,1,1,1
Greenlight Planet,1,1,1
GroundTruth,1,1,0
Groundtruth India Pvt Ltd,1,1,0
Growbiz Solutions,1,1,1
Guardian Life Insurance Company,1,1,1
HARMAN International,1,1,1
HCL Technologies Limited,1,1,1
HCL Technologies Ltd,1,1,1
HDFC Bank,1,1,1
HDFC ERGO General Insurance,1,1,0
HEN Technologies,1,1,0
HOLOSTIK,1,1,1
Harman Becker Automotive Systems Manufacturing Kft,1,1,0
Harris,1,1,0
Harrison Steel,1,1,1
Harvey,1,1,1
Havells,1,1,1
HealthEdge,1,1,1
HealthEdge: Healthcare SaaS To Accelerate Digital Transformation,1,1,1
Highrise Solutions LLP,1,1,1
HireMap,1,1,1
Hogarth World Wide,1,1,1
Honeywell Aerospace,1,1,1
Howmet Aerospace,1,1,1
Hudson Data,1,1,0
Hunt Remotely,1,1,0
Huron Consulting Services,1,1,0
Hyatt Place,1,1,0
IDFC FIRST Bank,1,1,1
IIDE,1,1,1
IKA India,1,1,1
IKS Health,1,1,1
IMA India,1,1,1
IQ-EQ,1,1,1
ISS STOXX,1,1,1
ITC WORLDWIDE,1,1,1
Icertis,1,1,1
Immerse Analytics,1,1,1
Impact Guru,1,1,1
Impetus Technologies,1,1,1
InRisk Labs,1,1,1
Inchcape Shipping Services,1,1,1
Incontact,1,1,1
Indovinya,1,1,1
Inficore Soft,1,1,0
Infineon,1,1,1
Informa,1,1,1
Infosys,1,1,0
Infotel UK,1,1,0
Inizio,1,1,1
Innefu Labs Limited,1,1,1
InnovMetric Logiciels|Software,1,1,0
InnovMetric Software Inc.,1,1,1
IntegriChain,1,1,1
Intercontinental Exchange,1,1,1
Interscripts,1,1,1
"Interscripts, Inc.",1,1,1
InvestCloud,1,1,1
InvestCloud Careers,1,1,1
J&J Family of Companies,1,1,1
JAGGAER,1,1,1
JB Pointdexter & Co,1,1,1
JRD Systems,1,1,1
Jabil,1,1,1
Jefferies,1,1,1
Jetking Technologies Private Limited,1,1,1
Jinvani Channel,1,1,1
Jobgenix,1,1,1
Jobskey Consultancy,1,1,1
Johnson and Johnson,1,1,1
Juniper Square,1,1,1
"KMK Consulting, Inc.",1,1,0
KPMG Assurance and Consulting Services LLP,1,1,1
Kanerika Software Private Limited,1,1,1
Kemin,1,1,1
Kenvue,1,1,0
Kevit.io,1,1,1
Kidde-Fenwal,1,1,0
Kushal's Fashion Jewellery,1,1,1
Kvc Consultants Ltd,1,1,1
LT-Larsen & Toubro,1,1,0
Lancesoft India Private Limited,1,1,1
Landmark Group,1,1,0
Laundryheap,1,1,1
Lead India,1,1,1
LeadSquared,1,1,1
Learntastic,1,1,0
Leegality,1,1,0
Lingaro,1,1,0
Lingaro Group,1,1,0
Lloyds Bank,1,1,0
Lokal App,1,1,1
Louis Dreyfus Company,1,1,1
Lowe's Home Centers,1,1,1
Lumilens,1,1,1
Lumoslogic,1,1,1
Luxoft India Llp,1,1,1
M&G Global Services,1,1,1
MCTC,1,1,0
METRO Global Solution Center IN,1,1,1
MRI Software,1,1,1
MSCI,1,1,1
MSCI Recruitment 2026 – Associate Software Engineer (AI & Python ...,1,1,1
MTAB Technology Center P Ltd,1,1,1
MUFG Americas,1,1,1
MUFG Bank,1,1,1
